district_code,crop,season,year,lead_months,model,predicted_yield_kg_ha,ci_low,ci_high,actual_yield_kg_ha,is_backtest,reliability
32.0,maize,A,2025,3,baseline_district_mean,904.442594509775,4.245009520355779,1804.6401794991941,1140.5329146128508,True,ok
33.0,maize,B,2025,3,baseline_district_mean,1728.660179854952,828.4625948655329,2628.857764844371,1258.5080824070621,True,ok
34.0,maize,B,2025,3,baseline_district_mean,996.5983508914486,96.40076590202943,1896.7959358808678,1030.7171243796788,True,ok
35.0,maize,B,2025,3,baseline_district_mean,540.0049683629301,-360.1926166264891,1440.2025533523492,1192.1768376078692,True,ok
37.0,maize,A,2025,3,baseline_district_mean,1366.5620313944507,466.3644464050316,2266.75961638387,1777.8282856842468,True,ok
42.0,maize,A,2025,3,baseline_district_mean,1511.3700334803473,611.1724484909281,2411.5676184697663,1698.5248438581411,True,ok
43.0,maize,A,2025,3,baseline_district_mean,1866.3630571136898,966.1654721242707,2766.560642103109,1899.1350712762676,True,ok
44.0,maize,A,2025,3,baseline_district_mean,1460.7160531423663,560.5184681529471,2360.9136381317853,2164.7506385083298,True,ok
51.0,maize,A,2025,3,baseline_district_mean,1511.7493853322298,611.5518003428107,2411.946970321649,1815.4691881368212,True,ok
52.0,maize,A,2025,3,baseline_district_mean,2491.743134717422,1591.5455497280027,3391.9407197068413,3118.288664185706,True,ok
52.0,maize,B,2025,3,baseline_district_mean,1236.510101485908,336.3125164964889,2136.707686475327,1826.7703678560265,True,ok
53.0,maize,A,2025,3,baseline_district_mean,2075.0228721455082,1174.825287156089,2975.2204571349275,2390.2504817218946,True,ok
54.0,maize,A,2025,3,baseline_district_mean,1628.435031203444,728.2374462140248,2528.632616192863,2604.26643156191,True,ok
55.0,maize,A,2025,3,baseline_district_mean,1546.2960445715198,646.0984595821006,2446.493629560939,2668.406363134353,True,ok
56.0,maize,A,2025,3,baseline_district_mean,1762.5739781796146,862.3763931901955,2662.771563169034,2910.089203432864,True,ok
31.0,maize,A,2019,4,baseline_district_mean,1364.6098051880338,464.4122201986146,2264.807390177453,788.1633909850171,True,ok
32.0,maize,A,2019,4,baseline_district_mean,985.8258003238377,85.62821533441854,1886.0233853132568,733.6168855425368,True,use_with_caution
33.0,maize,A,2019,4,baseline_district_mean,1452.2713759204173,552.0737909309981,2352.4689609098364,2212.3411874211693,True,ok
35.0,maize,A,2019,4,baseline_district_mean,514.6641779936679,-385.5334069957513,1414.861762983087,552.6696706925417,True,ok
37.0,maize,A,2019,4,baseline_district_mean,1744.0846953316081,843.887110342189,2644.2822803210274,1022.7829578099321,True,use_with_caution
41.0,maize,A,2019,4,baseline_district_mean,1076.8232709047873,176.62568591536808,1977.0208558942063,1232.4144309407845,True,ok
42.0,maize,A,2019,4,baseline_district_mean,1642.9022441746645,742.7046591852453,2543.0998291640835,909.3315796922388,True,use_with_caution
43.0,maize,A,2019,4,baseline_district_mean,1940.581454239122,1040.383869249703,2840.779039228541,1453.8246885236751,True,ok
44.0,maize,A,2019,4,baseline_district_mean,1680.3612245154873,780.1636395260681,2580.5588095049065,846.8796102696047,True,ok
52.0,maize,A,2019,4,baseline_district_mean,2650.1782750599973,1749.980690070578,3550.3758600494166,2167.677822130253,True,ok
53.0,maize,A,2019,4,baseline_district_mean,2123.841722189471,1223.6441372000518,3024.0393071788903,2097.337381458116,True,ok
55.0,maize,A,2019,4,baseline_district_mean,1876.7994388711468,976.6018538817276,2776.997023860566,685.3859973365916,True,use_with_caution
56.0,maize,A,2019,4,baseline_district_mean,2096.712642634761,1196.5150576453416,2996.91022762418,905.2572167019887,True,ok
23.0,maize,A,2020,4,baseline_district_mean,1479.7900657070168,579.5924807175976,2379.987650696436,1368.161249900747,True,ok
31.0,maize,A,2020,4,baseline_district_mean,1249.5437715865078,349.3461865970886,2149.741356575927,1363.4935589926474,True,ok
32.0,maize,A,2020,4,baseline_district_mean,936.8427680952918,36.64518310587266,1837.0403530847111,978.5320466852669,True,ok
34.0,maize,B,2020,4,baseline_district_mean,978.9120935382314,78.7145085488122,1879.1096785276504,1101.4621537925477,True,ok
35.0,maize,A,2020,4,baseline_district_mean,599.8338309036299,-300.3637540857893,1500.0314158930491,382.3303648726177,True,use_with_caution
35.0,maize,B,2020,4,baseline_district_mean,786.6495857040906,-113.54799928532861,1686.8471706935097,452.24298558438744,True,ok
41.0,maize,A,2020,4,baseline_district_mean,1145.145881202683,244.94829621326392,2045.3434661921024,1027.446600047097,True,ok
42.0,maize,A,2020,4,baseline_district_mean,1551.8396621258205,651.6420771364013,2452.0372471152396,1455.7070719853032,True,ok
43.0,maize,A,2020,4,baseline_district_mean,1860.9075249069672,960.709939917548,2761.1051098963862,1931.8682645166048,True,ok
44.0,maize,A,2020,4,baseline_district_mean,1525.3655975950921,625.168012605673,2425.563182584511,1776.8533717919743,True,ok
45.0,maize,A,2020,4,baseline_district_mean,1368.9114471440444,468.7138621546252,2269.1090321334636,1000.2372581132406,True,ok
51.0,maize,A,2020,4,baseline_district_mean,1469.485072628001,569.2874876385819,2369.6826576174203,1984.5264389537363,True,ok
52.0,maize,A,2020,4,baseline_district_mean,2544.619334260931,1644.4217492715115,3444.81691925035,2801.0314669246513,True,ok
52.0,maize,B,2020,4,baseline_district_mean,1346.2177281163417,446.02014312692256,2246.415313105761,1278.232234703859,True,ok
53.0,maize,A,2020,4,baseline_district_mean,2118.2542613472947,1218.0566763578754,3018.451846336714,2130.862146511176,True,ok
53.0,maize,B,2020,4,baseline_district_mean,1429.6290512168193,529.4314662274002,2329.8266362062386,1436.5541784961233,True,use_with_caution
55.0,maize,A,2020,4,baseline_district_mean,1718.780411016963,818.5828260275438,2618.977996006382,1633.5001644616946,True,ok
56.0,maize,A,2020,4,baseline_district_mean,1912.6354933099299,1012.4379083205107,2812.833078299349,2009.7201126509742,True,ok
57.0,maize,A,2020,4,baseline_district_mean,803.8535567920363,-96.34402819738284,1704.0511417814555,886.3083015007892,True,use_with_caution
23.0,maize,A,2021,4,baseline_district_mean,1481.8913165947947,581.6937316053755,2382.088901584214,1363.9587481251908,True,ok
25.0,maize,A,2021,4,baseline_district_mean,1178.6285968902855,278.43101190086634,2078.8261818797046,657.412971055317,True,ok
31.0,maize,A,2021,4,baseline_district_mean,1318.7162406619314,418.5186556725122,2218.9138256513506,1017.6312136155285,True,ok
32.0,maize,A,2021,4,baseline_district_mean,929.5740580333988,29.376473043979672,1829.771643022818,1014.8755969947318,True,ok
33.0,maize,A,2021,4,baseline_district_mean,1609.1242248183196,708.9266398289004,2509.3218098077386,1741.7826407274624,True,ok
33.0,maize,B,2021,4,baseline_district_mean,1258.5080824070621,358.310497417643,2158.705667396481,1728.660179854952,True,ok
34.0,maize,B,2021,4,baseline_district_mean,1029.258050701183,129.06046571176387,1929.4556356906023,900.0783251407416,True,ok
35.0,maize,A,2021,4,baseline_district_mean,467.5000177825797,-432.6975672068395,1367.6976027719988,646.9979911147182,True,use_with_caution
35.0,maize,B,2021,4,baseline_district_mean,822.7211024786792,-77.47648251073997,1722.9186874680984,344.028435260622,True,ok
41.0,maize,A,2021,4,baseline_district_mean,1041.7852555926684,141.5876706032492,1941.9828405820876,1337.5284768771414,True,ok
42.0,maize,A,2021,4,baseline_district_mean,1521.6246109533583,621.4270259639392,2421.8221959427774,1636.9973790200759,True,ok
43.0,maize,A,2021,4,baseline_district_mean,1907.8403663625852,1007.642781373166,2808.0379513520043,1650.271215782895,True,ok
44.0,maize,A,2021,4,baseline_district_mean,1590.30111634056,690.1035313511408,2490.498701329979,1387.240259319168,True,ok
45.0,maize,A,2021,4,baseline_district_mean,1362.9407515840383,462.7431665946191,2263.1383365734573,1024.1200403532655,True,use_with_caution
51.0,maize,A,2021,4,baseline_district_mean,1568.753867199145,668.5562822097257,2468.951452188564,1587.4512606691612,True,ok
52.0,maize,A,2021,4,baseline_district_mean,2699.09743408364,1798.8998490942208,3599.2950190730594,1874.1628679883943,True,ok
52.0,maize,B,2021,4,baseline_district_mean,1305.8468211058566,405.64923611643746,2206.044406095276,1480.086769756284,True,ok
53.0,maize,A,2021,4,baseline_district_mean,2170.8414387013327,1270.6438537119134,3071.039023690752,1815.339082386949,True,ok
54.0,maize,A,2021,4,baseline_district_mean,2153.966328278368,1253.7687432889488,3054.1639132677874,1553.203837412062,True,ok
55.0,maize,A,2021,4,baseline_district_mean,1733.482890681381,833.2853056919618,2633.6804756708,1545.2852864751865,True,ok
56.0,maize,A,2021,4,baseline_district_mean,1902.1456521243997,1001.9480671349805,2802.3432371138188,2072.6591597641554,True,ok
57.0,maize,A,2021,4,baseline_district_mean,686.548660110883,-213.64892487853615,1586.746245100302,1120.9180948630958,True,ok
31.0,maize,A,2022,4,baseline_district_mean,1209.2210151393388,309.0234301499196,2109.418600128758,1565.107341228493,True,ok
32.0,maize,A,2022,4,baseline_district_mean,938.5502792299346,38.35269424051546,1838.7478642193537,969.9944910120529,True,ok
35.0,maize,B,2022,4,baseline_district_mean,662.8160861509596,-237.3814988384596,1563.0136711403788,823.7434842437808,True,ok
42.0,maize,A,2022,4,baseline_district_mean,1509.9656670443521,609.768082054933,2410.163252033771,1706.9510424741118,True,ok
43.0,maize,A,2022,4,baseline_district_mean,1799.9589993823636,899.7614143929444,2700.1565843717826,2297.5594176642253,True,ok
44.0,maize,A,2022,4,baseline_district_mean,1584.8911116224972,684.693526633078,2485.0886966119165,1419.7002876275444,True,ok
45.0,maize,A,2022,4,baseline_district_mean,1227.8031470816004,327.60556209218123,2128.0007320710197,1564.6704583630165,True,ok
52.0,maize,A,2022,4,baseline_district_mean,2634.8489998934087,1734.6514149039895,3535.046584882828,2259.6534731297825,True,ok
52.0,maize,B,2022,4,baseline_district_mean,1313.3027850427577,413.10520005333854,2213.5003700321768,1442.806950071779,True,ok
53.0,maize,A,2022,4,baseline_district_mean,2183.118896287223,1282.9213112978036,3083.316481276642,1741.6743368716063,True,ok
55.0,maize,A,2022,4,baseline_district_mean,1798.768654056347,898.5710690669279,2698.966239045766,1153.570706225391,True,ok
56.0,maize,A,2022,4,baseline_district_mean,1901.7240653793008,1001.5264803898816,2801.92165036872,2075.1886802347467,True,ok
23.0,maize,A,2023,4,baseline_district_mean,1366.059999012969,465.86241402354983,2266.2575840023883,1595.6213832888425,True,use_with_caution
25.0,maize,A,2023,4,baseline_district_mean,1055.825858397628,155.62827340820888,1956.0234433870473,903.018448040632,True,ok
31.0,maize,A,2023,4,baseline_district_mean,1343.1362454708624,442.9386604814432,2243.3338304602817,895.5311895708741,True,ok
32.0,maize,A,2023,4,baseline_district_mean,967.5103869694879,67.31280198006868,1867.707971958907,825.1939523142868,True,ok
33.0,maize,A,2023,4,baseline_district_mean,1859.4610120672853,959.2634270778661,2759.6585970567044,990.772278980565,True,use_with_caution
34.0,maize,B,2023,4,baseline_district_mean,1009.7984159424004,109.60083095298125,1909.9960009318197,977.9168641758714,True,ok
37.0,maize,A,2023,4,baseline_district_mean,1400.3056217470894,500.1080367576702,2300.5032067365087,1710.3411049789695,True,use_with_caution
41.0,maize,A,2023,4,baseline_district_mean,1199.1298359550076,298.9322509655884,2099.3274209444266,865.4947357901235,True,use_with_caution
42.0,maize,A,2023,4,baseline_district_mean,1553.1855763113772,652.987991321958,2453.3831613007965,1447.6315868719628,True,ok
43.0,maize,A,2023,4,baseline_district_mean,1909.4232187096452,1009.225633720226,2809.6208036990643,1640.7741017005355,True,ok
44.0,maize,A,2023,4,baseline_district_mean,1601.0209541642441,700.823369174825,2501.218539153663,1322.9212323770632,True,ok
45.0,maize,A,2023,4,baseline_district_mean,1343.4446316558178,443.24704666639866,2243.642216645237,1102.1045200661476,True,ok
51.0,maize,A,2023,4,baseline_district_mean,1662.0459182659556,761.8483332765364,2562.243503255375,1214.2830564019182,True,ok
52.0,maize,A,2023,4,baseline_district_mean,2563.416040208714,1663.2184552192948,3463.6136251981334,2688.2512312379504,True,ok
52.0,maize,B,2023,4,baseline_district_mean,1469.3640436751652,569.1664586857461,2369.5616286645845,662.5006569097405,True,ok
53.0,maize,A,2023,4,baseline_district_mean,2117.283387802736,1217.0858028133166,3017.480972792155,2136.6873877785283,True,ok
53.0,maize,B,2023,4,baseline_district_mean,1532.9508840968756,632.7532991074564,2433.148469086295,1229.9105127360108,True,use_with_caution
55.0,maize,A,2023,4,baseline_district_mean,1717.1213073148394,816.9237223254203,2617.3188923042585,1643.4547866744358,True,ok
56.0,maize,A,2023,4,baseline_district_mean,2028.1093148343846,1127.9117298449655,2928.3068998238036,1316.8771835042448,True,ok
57.0,maize,A,2023,4,baseline_district_mean,1003.6131981819425,103.41561319252332,1903.8107831713617,486.78901872097686,True,use_with_caution
25.0,maize,A,2024,4,baseline_district_mean,780.2157095479745,-119.98187544144469,1680.4132945373935,1454.2387457399388,True,ok
31.0,maize,A,2024,4,baseline_district_mean,1125.9853388785118,225.78775388909264,2026.182923867931,1981.2857225326259,True,ok
33.0,maize,A,2024,4,baseline_district_mean,1648.298702376399,748.1011173869798,2548.4962873658183,1624.2592080532247,True,ok
34.0,maize,B,2024,4,baseline_district_mean,1002.5436168722099,102.34603188279073,1902.7412018616292,1006.9360604566338,True,ok
42.0,maize,A,2024,4,baseline_district_mean,1475.8572506503058,575.6596656608866,2376.054835639725,1911.6015408383917,True,ok
43.0,maize,A,2024,4,baseline_district_mean,1812.238793244034,912.0412082546148,2712.436378233453,2223.880654494203,True,ok
44.0,maize,A,2024,4,baseline_district_mean,1486.3908999822806,586.1933149928615,2386.5884849717,2010.701557468843,True,ok
45.0,maize,A,2024,4,baseline_district_mean,1172.7830692239177,272.5854842344985,2072.980654213337,1784.7507697937483,True,ok
51.0,maize,A,2024,4,baseline_district_mean,1650.4324860404092,750.2349010509901,2550.6300710298283,1260.7367853041037,True,ok
52.0,maize,A,2024,4,baseline_district_mean,2484.844254266123,1584.6466692767035,3385.041839255542,3159.6819468934987,True,ok
52.0,maize,B,2024,4,baseline_district_mean,1338.079395859538,437.8818108701188,2238.276980848957,1318.9238959878783,True,ok
53.0,maize,A,2024,4,baseline_district_mean,2052.025136121378,1151.827551131959,2952.2227211107975,2528.2368978666736,True,ok
53.0,maize,B,2024,4,baseline_district_mean,1333.232345616067,433.0347606266479,2233.4299306054863,1629.3475896976277,True,ok
54.0,maize,A,2024,4,baseline_district_mean,2078.7351344869858,1178.5375494975665,2978.932719476405,1703.666224994826,True,ok
55.0,maize,A,2024,4,baseline_district_mean,1554.9338840512755,654.7362990618564,2455.131469040695,2616.57932625582,True,ok
56.0,maize,A,2024,4,baseline_district_mean,1881.6319260481623,981.4343410587431,2781.8295110375816,2195.7415162215784,True,ok
32.0,maize,A,2025,4,baseline_district_mean,904.442594509775,4.245009520355779,1804.6401794991941,1140.5329146128508,True,ok
33.0,maize,B,2025,4,baseline_district_mean,1728.660179854952,828.4625948655329,2628.857764844371,1258.5080824070621,True,ok
34.0,maize,B,2025,4,baseline_district_mean,996.5983508914486,96.40076590202943,1896.7959358808678,1030.7171243796788,True,ok
35.0,maize,B,2025,4,baseline_district_mean,540.0049683629301,-360.1926166264891,1440.2025533523492,1192.1768376078692,True,ok
37.0,maize,A,2025,4,baseline_district_mean,1366.5620313944507,466.3644464050316,2266.75961638387,1777.8282856842468,True,ok
42.0,maize,A,2025,4,baseline_district_mean,1511.3700334803473,611.1724484909281,2411.5676184697663,1698.5248438581411,True,ok
43.0,maize,A,2025,4,baseline_district_mean,1866.3630571136898,966.1654721242707,2766.560642103109,1899.1350712762676,True,ok
44.0,maize,A,2025,4,baseline_district_mean,1460.7160531423663,560.5184681529471,2360.9136381317853,2164.7506385083298,True,ok
51.0,maize,A,2025,4,baseline_district_mean,1511.7493853322298,611.5518003428107,2411.946970321649,1815.4691881368212,True,ok
52.0,maize,A,2025,4,baseline_district_mean,2491.743134717422,1591.5455497280027,3391.9407197068413,3118.288664185706,True,ok
52.0,maize,B,2025,4,baseline_district_mean,1236.510101485908,336.3125164964889,2136.707686475327,1826.7703678560265,True,ok
53.0,maize,A,2025,4,baseline_district_mean,2075.0228721455082,1174.825287156089,2975.2204571349275,2390.2504817218946,True,ok
54.0,maize,A,2025,4,baseline_district_mean,1628.435031203444,728.2374462140248,2528.632616192863,2604.26643156191,True,ok
55.0,maize,A,2025,4,baseline_district_mean,1546.2960445715198,646.0984595821006,2446.493629560939,2668.406363134353,True,ok
56.0,maize,A,2025,4,baseline_district_mean,1762.5739781796146,862.3763931901955,2662.771563169034,2910.089203432864,True,ok
21.0,beans,A,2019,2,ridge,448.9912590781137,158.6241652768358,739.3583528793916,619.6374048688228,True,ok
22.0,beans,A,2019,2,ridge,340.7061541230886,50.33906032181068,631.0732479243666,484.7402067863524,True,ok
23.0,beans,A,2019,2,ridge,602.5292947345506,312.1622009332727,892.8963885358285,779.7380744947134,True,use_with_caution
24.0,beans,A,2019,2,ridge,542.6808215795348,252.31372777825692,833.0479153808128,519.6327234933982,True,ok
